group,command,decision,migrated_to,reason,actions
Открытие сайтов,Яндекс,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,Ютуб,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,Вк,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,Переводчик,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,Гугл,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,спотифай,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,пикабу,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,твиттер,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,фейсбук,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,инстаграмм,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,википедия,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL
Открытие сайтов,тик ток,migrate_now,intents/websites.yaml,Converted into YAML website bookmarks with Linux-safe OPEN_URL actions.,Sound.PlayStream; Launch.OpenURL; VC.Pause; OSD.ShowText
Управление системой,Закрыть окно,migrate_now,intents/system-control.yaml#close_window,Mapped to a Linux-safe Alt+F4 desktop action.,Window.Close; Sound.PlayWav
Управление системой,На весь экран,migrate_now,intents/system-control.yaml#fullscreen,Mapped to generic fullscreen hotkey handling.,Window.Maximize
Управление системой,Норм окно,adapt_later,,Needs dedicated restore-window support instead of maximize/minimize toggles.,Window.Normalize
Управление системой,Сверни окно,adapt_later,,Needs minimize-window intent wiring and UX confirmation.,Window.Minimize; Sound.PlayStream
Управление системой,Вставить,migrate_now,intents/system-control.yaml#clipboard_paste,Mapped to clipboard hotkey execution.,Sound.PlayStream; InputKeys.Send
Управление системой,Скопировать,migrate_now,intents/system-control.yaml#clipboard_copy,Mapped to clipboard hotkey execution.,InputKeys.Send; Sound.PlayStream
Управление системой,Отмена действия,migrate_now,intents/system-control.yaml#undo_action,Mapped to undo hotkey execution.,Sound.PlayStream; InputKeys.Send
Управление системой,Другое окно,migrate_now,intents/system-control.yaml#switch_window,Mapped to window switching hotkey execution.,Sound.PlayStream; InputKeys.Send
Управление системой,Смена имени,migrate_now,intents/system-control.yaml#rename_item,Mapped to F2 rename hotkey execution.,Sound.PlayStream; InputKeys.Send
Управление системой,Найди элемент,migrate_now,intents/system-control.yaml#find_in_page,Mapped to page search hotkey execution.,Sound.PlayStream; InputKeys.Send
Управление системой,Обнови страницу,migrate_now,intents/system-control.yaml#refresh_page,Mapped to browser refresh hotkey execution.,Sound.PlayStream; InputKeys.Send
Управление системой,Назад,migrate_now,intents/system-control.yaml#navigate_back,Mapped to browser back hotkey execution.,InputKeys.Send
Управление системой,Вперёд,migrate_now,intents/system-control.yaml#navigate_forward,Mapped to browser forward hotkey execution.,InputKeys.Send
Управление системой,Арес страницы,migrate_now,intents/system-control.yaml#focus_address_bar,Mapped to browser address-bar focus hotkey execution.,Sound.PlayStream; InputKeys.Send
Управление системой,Повтори окно,adapt_later,,Meaning is ambiguous in the legacy profile and needs confirmation before wiring.,Sound.PlayStream; InputKeys.Send
Управление системой,Поиск по системе,migrate_now,intents/system-control.yaml#system_search,Mapped to desktop search launcher action.,Sound.PlayStream; InputKeys.Send
Управление системой,Открой параметры,migrate_now,intents/system-control.yaml#open_settings,Mapped to generic settings application launch.,Sound.PlayStream; InputKeys.Send
Управление системой,Удали,migrate_now,intents/system-control.yaml#delete_selection,Mapped to delete key action.,Sound.PlayStream; InputKeys.Send
Управление системой,Энтэр,migrate_now,intents/system-control.yaml#press_enter,Mapped to Enter key action.,Sound.PlayStream; InputKeys.Send
Управление системой,Смени язык,migrate_now,intents/system-control.yaml#switch_language,Mapped to keyboard layout switch hotkey.,Sound.PlayStream; InputKeys.Send
Управление системой,Клик,discard,,Coordinate-free click commands are too context-sensitive and unsafe to run blindly.,Sound.PlayStream; Mouse.LeftClick
Управление системой,Управление звуком,discard,,"Legacy action bundle was an ambiguous Windows mixer macro, not a stable intent.",Sound.SetVol; Sound.PlayStream
Управление системой,Выключи монитор,migrate_now,intents/system-control.yaml#monitor_off,Mapped to monitor-off system command handling.,Sound.PlayStream; Launch.RawParam
Управление системой,Спящий режим,migrate_now,intents/system-control.yaml#sleep_mode,Mapped to suspend system command handling.,Sound.PlayStream; VC.Pause; System.Sleep
Управление системой,очисти корзину,adapt_later,,Needs safe trash integration rather than destructive shell deletion.,Sound.PlayStream; Launch.RawParam
Управление системой,создай новую папку,adapt_later,,"Needs context-aware file-manager automation, not a blind hotkey.",Sound.PlayStream; InputKeys.Send; VC.Pause; InputKeys.Send
Управление системой,Рабочий стол,migrate_now,intents/system-control.yaml#show_desktop,Mapped to show-desktop hotkey execution.,InputKeys.Send
Управление системой,открой дисковод,discard,,Optical-drive tray control is obsolete and not part of the Linux-first target UX.,Launch.RawParam
Управление системой,закрой дисковод,discard,,Optical-drive tray control is obsolete and not part of the Linux-first target UX.,Launch.RawParam
Управление системой,Сделай громче,migrate_now,BasicIntentHandler#VOLUME_UP,Merged into the existing volume-up intent family.,Sound.PlayStream
Управление системой,сделай тише,migrate_now,BasicIntentHandler#VOLUME_DOWN,Merged into the existing volume-down intent family.,Sound.PlayStream
Управление системой,Запусти автокликер,discard,,Windows-only automation hack; not acceptable runtime behavior.,Sound.PlayStream; Launch.RawParam; VC.Pause; InputKeys.Send; Window.Minimize
Управление системой,выруби автокликер,discard,,Windows-only automation hack; not acceptable runtime behavior.,Sound.PlayStream; Window.Focus; VC.Pause; InputKeys.Send; Window.Close
Управление системой,проверь скорость интернета,migrate_now,intents/system-control.yaml#network_check,Converted from mouse automation to opening a browser speed-test URL.,Sound.PlayStream; Launch.OpenURL; VC.Pause; Mouse.MoveAbsolute; Mouse.LeftClick
Управление системой,Сделай скриншот,migrate_now,intents/system-control.yaml#take_screenshot,Mapped to screenshot hotkey execution.,Sound.PlayStream; Launch.OpenFile
Протокололы,Уютный вечер,migrate_now,intents/protocols.yaml#cozy_evening,Mapped to a first-class desktop scenario.,Sound.PlayStream; Launch.OpenFile; VC.Pause; InputKeys.Send
Протокололы,отмени протокол,adapt_later,,Needs scenario rollback semantics; current runtime only supports starting scenarios.,Sound.PlayStream; Window.Close
Протокололы,У нас гости,migrate_now,intents/protocols.yaml#guests_mode,Mapped to a first-class desktop scenario.,Sound.PlayStream; Launch.OpenURL; VC.Pause; InputKeys.Send
Протокололы," протокол чистый лист,чистый лист,протокол 10,убери все с робочего стола,очисти рабочий стол",migrate_now,intents/protocols.yaml#clean_slate,Mapped to a first-class desktop scenario.,Sound.PlayStream; Mouse.MoveAbsolute; Mouse.RightClick; Mouse.MoveAbsolute; Mouse.LeftClick; Mouse.MoveAbsolute; Mouse.LeftClick
Протокололы,Отмени протокол чистый лист,adapt_later,,Needs scenario rollback semantics; current runtime only supports starting scenarios.,Sound.PlayStream; Mouse.MoveAbsolute; Mouse.RightClick; Mouse.MoveAbsolute; Mouse.LeftClick; Mouse.MoveAbsolute; Mouse.LeftClick
Протокололы,новогоднее настроение,migrate_now,intents/protocols.yaml#holiday_mood,Mapped to a first-class desktop scenario.,Sound.PlayStream; Launch.OpenURL; VC.Pause; Launch.RawParam; VC.Pause; InputKeys.Send
Общение,вызов,migrate_now,intents/conversation.yaml#wake_call,Mapped to wake/ready response.,Sound.PlayStream; VC.On
Общение,доброе утро,migrate_now,intents/conversation.yaml#good_morning,Mapped to morning greeting response.,Sound.PlayStream
Общение,что делаешь,migrate_now,intents/conversation.yaml#what_are_you_doing,Mapped to personality/status response.,Sound.PlayStream
Общение,как дела,migrate_now,intents/conversation.yaml#how_are_you,Mapped to personality/status response.,Sound.PlayStream
Общение,я вернулся,migrate_now,intents/conversation.yaml#im_back,Mapped to return-home response.,Sound.PlayStream; VC.Pause; Launch.OpenFile
Общение,выключи приветствие ,adapt_later,,Needs a persisted user preference instead of a one-shot macro.,Sound.PlayStream; Window.Close
Общение,я отдыхать,migrate_now,intents/conversation.yaml#go_to_sleep_jarvis,Mapped to standby/sleep response.,Sound.PlayStream
Общение,есть новости?,migrate_now,intents/conversation.yaml#open_news,Mapped to browser-based news opening.,Sound.PlayStream
Общение,включи новости,migrate_now,intents/conversation.yaml#open_news,Mapped to browser-based news opening.,Sound.PlayStream; Launch.OpenURL
Общение,Джарвис шухер,migrate_now,intents/protocols.yaml#panic_mode,Mapped to the panic protocol scenario.,InputKeys.Send; Sound.SetVol
Общение,Джарвис я один дома,adapt_later,,Needs a real presence/home-status model before wiring a scenario.,Sound.PlayStream; Launch.OpenURL
Общение,за работу,migrate_now,intents/protocols.yaml#work_from_home,Mapped to the work-mode scenario.,Launch.OpenURL
Общение,джарвис мне лень,migrate_now,intents/conversation.yaml#im_bored,Mapped into the boredom/suggestion intent family.,Launch.OpenURL
Общение,мне скучно,migrate_now,intents/conversation.yaml#im_bored,Mapped into the boredom/suggestion intent family.,Sound.PlayStream; Launch.OpenURL; OSD.ShowText
Общение,мне грустно,migrate_now,intents/conversation.yaml#im_sad,Mapped into the cheer-up intent family.,Sound.PlayStream; Launch.OpenURL; OSD.ShowText
Общение,хочу погрустить,migrate_now,intents/conversation.yaml#im_sad,Mapped into the cheer-up intent family.,Sound.PlayStream; Launch.OpenURL; OSD.ShowText
Общение,Я тебя люблю,migrate_now,intents/conversation.yaml#i_love_you,Mapped to the affection/acknowledgement response.,Sound.PlayStream
Общение,Спасибо,migrate_now,BasicIntentHandler#THANKS,Merged into the existing thanks intent family.,Sound.PlayStream
Общение,Привет,migrate_now,BasicIntentHandler#GREETING,Merged into the existing greeting intent family.,Sound.PlayStream
Общение,что ты знаешь о космосе,adapt_later,,"Long-form knowledge answers belong in an explicit AI/knowledge path, not a fixed local rule.",Sound.PlayStream
Общение,скажи рандомный факт,migrate_now,intents/conversation.yaml#tell_fact,Mapped to the random-fact response path.,Sound.PlayStream
Общение,Орел или решка,adapt_later,,Needs explicit coin-flip logic and a deterministic response asset set.,Sound.PlayStream; VC.Pause; Sound.PlayStream
Общение,расскажи сказку,adapt_later,,Needs story-mode orchestration and long-form voice handling.,Sound.PlayStream
Общение,что ты знаешь о горе эверест,adapt_later,,"Long-form knowledge answers belong in an explicit AI/knowledge path, not a fixed local rule.",Sound.PlayStream
Общение,есть ли жизнь на других планетах,adapt_later,,"Long-form knowledge answers belong in an explicit AI/knowledge path, not a fixed local rule.",Sound.PlayStream
Общение,Джарвис не слушай,migrate_now,intents/conversation.yaml#go_to_sleep_jarvis,Mapped to standby/sleep response.,VC.Standby; Sound.PlayStream
Управление Microsoft Word,Настройка шрифта,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Окно печати,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Найди и замени,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Вкладка вставка,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Вкладка дизайн,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Вкладка разметка страницы,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Поля,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Открой поиск в документе,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Перемещение курсора влево,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Перемещение курсора вправо,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Перемещение курсора вниз,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Перемещение курсора вверх,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,В начало строки,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,В конец строки,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,В начало документа,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,В конец документа,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
Управление Microsoft Word,Сохранить как,discard,,Microsoft Word macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Презентация в новом окне,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Новый слайд,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Удалить слайд,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Дублировать объект,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Группировать выделенные объекты,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Разгрупировать выделенные объекты,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Копировать форматирование,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Применить форматирование,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Гиперссылка,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Повтор последнего действия,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Слайд шоу,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Настройка слайд шоу,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Следующий слайд(в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Предыдущий слайд(в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Черный экран(скрыть на время) (в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Черный экран(скрыть на время) (в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Белый экран(скрыть на время) (в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Карандаш(в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Ластик(в режиме слайд шоу),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Сохранить презентацию как,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Полужирный,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Курсив,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Подчеркнутый,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Зачеркнутый,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Разместить параграф по центру,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Разместить параграф произвольно,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Разместить параграф по правому краю,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Разместить параграф по левому краю,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send
PowerPoint,Настройки шрифта,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Настройки абзаца,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Добавить таблицу,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause
PowerPoint,Добавить изображение,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Фотоальбом ,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
