group,command,decision,migrated_to,reason,actions
PowerPoint,Надпись ( в отдельном объекте),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Декорированная надпись,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Дата и время,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Параметры страниц,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Ориентация слайда,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Темы,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Темы (загрузить с пк),discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Сохрвнить текущую тему,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,(отдельно) Цвет темы,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,(отдельно) Шрифт темы,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,(отдельно) Стиль фона,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Схема перехода слайда,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Звук перехода слайда,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Скорость перехода слайда,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Просмотреть анимацию слайдов,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,Применить параметры переходов ко всем слайдам ,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send
PowerPoint,убрать\скрыть линейку,discard,,PowerPoint macro/hotkey automation is Windows- and app-specific.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
Управление Ютубом,Остановка/ воспроизведение видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,Sound.PlayWav; InputKeys.Send
Управление Ютубом,Перемотать вперед ( на 10 сек),adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,Sound.PlayWav; InputKeys.Send
Управление Ютубом,Перемотать видео (на 10 сек назад),adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Следующее видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Предыдущее видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на начало видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 10% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 20% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 30% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 40% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 50% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 60% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 70% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 80% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Перемотать на 90% видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Полноэкранный режим,migrate_now,intents/system-control.yaml#fullscreen,Merged into the existing fullscreen intent family.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Субтитры,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,2 режима просмотра видео,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Мини-проигрыватель,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,InputKeys.Send; Sound.PlayWav
Управление Ютубом,Звук,adapt_later,,Needs browser/video-surface-specific automation before it can be wired safely.,Sound.PlayWav; InputKeys.Send
jarvis system,при запуске,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,Window.Close; Sound.PlayWav
jarvis system,включи секундомер,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,Sound.PlayWav; Launch.OpenFile; VC.Pause; InputKeys.Send; VC.Pause; InputKeys.Send
jarvis system,Круг,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,InputKeys.Send
jarvis system,поставь будильник,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,Sound.PlayWav; Launch.OpenFile; VC.Pause; Window.Close
jarvis system,поставь таймер,adapt_later,,Needs a dedicated desktop feature instead of a VoxCommando-era macro.,Sound.PlayWav; Launch.RawParam
фильмы,включи фильм Железный человек,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Железный человек 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Невероятный халк,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Тор,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Первый мститель,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Мстители,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Железный человек 3,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Тор 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Первый мститель: Другая война,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Стражи Галактики,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Мстители: Эра Альтрона,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек-муравей,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Первый мститель: Противостояние,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Доктор Стрэндж,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Стражи Галактики 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек-паук: Возвращение домой,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Тор: Рагнарёк,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Чёрная Пантера,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Мстители: Война бесконечности,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек-муравей и Оса,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Капитан Марвел,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Мстители: Финал,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек-паук: Вдали от дома,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Новый Человек-паук,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Новый Человек паук 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек паук ,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек паук 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек паук 3,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Дэдпул,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Дэдпул 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Шан-Чи,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Человек паук Нет пути домой,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Логан,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Kingsman,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Люди в черном,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Kingsman 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Веном,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Пипец,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Чёрная Вдова,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Вечные,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Призрачный гонщик,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Веном 2,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Тор: Любовь и гром,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,включи фильм Морбиус,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL; VC.Pause
фильмы,открой сверхестественное,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL
фильмы,открой ходячие мертвецы,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL
фильмы,открой сериал скорпион,archive_only,,"Bookmark/catalog content kept for later media-library work, not runtime-safe to wire now.",Sound.PlayWav; Launch.OpenURL
фокус,разверни браузер,adapt_later,,Needs focus-existing-window support instead of opening a new app instance.,Window.Maximize; VC.Pause; Mouse.LeftClick
рисунки,нарисуй круг,discard,,Coordinate-based drawing macros are screen-dependent and not production-safe.,Sound.PlayWav; Mouse.MoveAbsolute; Mouse.LeftClick; VC.Pause; Mouse.MoveAbsolute; Mouse.LeftButtonDown; Mouse.MoveAbsolute; Mouse.LeftButtonUp
рисунки,нарисуй квадрат,discard,,Coordinate-based drawing macros are screen-dependent and not production-safe.,Sound.PlayWav; Mouse.MoveAbsolute; Mouse.LeftClick; Mouse.MoveAbsolute; Mouse.LeftButtonDown; VC.Pause; Mouse.MoveAbsolute; Mouse.LeftButtonUp
рисунки,красный цвет,discard,,Coordinate-based drawing macros are screen-dependent and not production-safe.,Sound.PlayWav; Mouse.MoveAbsolute; Mouse.LeftClick; Mouse.LeftClick
рисунки,Синий цвет,discard,,Coordinate-based drawing macros are screen-dependent and not production-safe.,Sound.PlayWav; Mouse.MoveAbsolute; Mouse.LeftClick; Mouse.LeftClick
рисунки,желтый цвет,discard,,Coordinate-based drawing macros are screen-dependent and not production-safe.,Sound.PlayWav; Mouse.MoveAbsolute; Mouse.LeftClick; Mouse.LeftClick
рисунки,нарисуй круг внутри квадрата,discard,,Coordinate-based drawing macros are screen-dependent and not production-safe.,Sound.PlayWav; Mouse.MoveAbsolute; Mouse.LeftClick; Mouse.MoveAbsolute; Mouse.LeftButtonDown; VC.Pause; Mouse.MoveAbsolute; Mouse.LeftButtonUp; VC.Pause; Mouse.MoveAbsolute; Mouse.LeftClick; Mouse.MoveAbsolute; Mouse.LeftButtonDown; VC.Pause; Mouse.MoveAbsolute; Mouse.LeftButtonUp
Диджей,включи атмосферную музыку,migrate_now,intents/media-control.yaml,Converted into YAML media intents with URL/scenario-safe actions.,Launch.OpenURL; Sound.PlayWav; 
Диджей,включи фонк,migrate_now,intents/media-control.yaml,Converted into YAML media intents with URL/scenario-safe actions.,Launch.OpenURL; Sound.PlayWav
Диджей,включи рок,migrate_now,intents/media-control.yaml,Converted into YAML media intents with URL/scenario-safe actions.,Launch.OpenURL; Sound.PlayWav
Диджей,включи ридио хиты,migrate_now,intents/media-control.yaml,Converted into YAML media intents with URL/scenario-safe actions.,Launch.OpenURL; Sound.PlayWav
Диджей,включи радио,migrate_now,intents/media-control.yaml,Converted into YAML media intents with URL/scenario-safe actions.,Launch.OpenURL
Диджей,включи музыку,migrate_now,intents/media-control.yaml,Converted into YAML media intents with URL/scenario-safe actions.,Launch.OpenURL; Sound.PlayWav
яндекс музыка,включи музыку в яндекс,migrate_now,intents/media-control.yaml#play_music_generic,Mapped to the generic play-music flow with a Linux-safe URL target.,Sound.PlayStream; Launch.RawParam; VC.Pause; Window.Focus; VC.Pause; DxInput.KeyPress; VC.Pause; Sound.PlayStream; VC.Pause; Window.Minimize
яндекс музыка,поставь лайк,adapt_later,,Needs a service-specific music-rating API; not portable enough for now.,Window.focus; DxInput.KeyPress; Sound.PlayStream; Window.Minimize
яндекс музыка,поставь дизлайк,adapt_later,,Needs a service-specific music-rating API; not portable enough for now.,Window.Focus; VC.Pause; DxInput.KeyPress; Sound.PlayStream; VC.Pause; Window.Minimize
яндекс музыка,следующий трек,migrate_now,BasicIntentHandler#MEDIA_NEXT,Merged into the existing next-track intent family.,Window.Focus; VC.Pause; DxInput.KeyPress; Sound.PlayStream; VC.Pause; Window.Minimize
яндекс музыка,Предыдущий трек,migrate_now,BasicIntentHandler#MEDIA_PREV,Merged into the existing previous-track intent family.,Window.Focus; DxInput.KeyPress; Sound.PlayStream; Window.Minimize
яндекс музыка,выключи музыку в яндекс,migrate_now,intents/media-control.yaml#pause_yandex_music,Mapped to a pause/stop media command.,Sound.PlayStream; Window.Minimize
яндекс музыка,Пауза пуск,migrate_now,intents/media-control.yaml#toggle_music,Mapped to a play/pause toggle command.,Window.Focus; VC.Pause; DxInput.KeyPress; Sound.PlayStream; VC.Pause; Window.Minimize
яндекс музыка,громче,migrate_now,BasicIntentHandler#VOLUME_UP,Merged into the existing volume-up intent family.,Window.Focus; DxInput.KeyPress; DxInput.KeyPress; Sound.PlayStream; Window.Minimize
яндекс музыка,Тише,migrate_now,BasicIntentHandler#VOLUME_DOWN,Merged into the existing volume-down intent family.,Window.Focus; DxInput.KeyPress; DxInput.KeyPress; Sound.PlayStream; Window.Minimize
диктовка текста,включи диктовку текста,adapt_later,,Needs continuous dictation/session mode support.,Sound.PlayStream; InputKeys.Send; VC.Standby
диктовка текста,отправь,adapt_later,,Needs continuous dictation/session mode support.,Sound.PlayWav; InputKeys.Send; VC.Pause; InputKeys.Send; VC.On
Игровой режим,Включи игровой режим,migrate_now,intents/protocols.yaml#game_mode,Mapped to a first-class desktop scenario.,Sound.PlayStream; VC.Pause; Launch.RawParam; Sound.PlayStream
